eventid,iyear,imonth,iday,nkill
198210090002,1982,10,9,0
197908070002,1979,8,7,0
198206300002,1982,6,30,0
198407240004,1984,7,24,2
198206230001,1982,6,23,0
198201050003,1982,1,5,1
198505160037,1985,5,16,0
198505160051,1985,5,16,0
198902180008,1989,2,18,0
198706040005,1987,6,4,0
198908100004,1989,8,10,0
198711190026,1987,11,19,0
198004220002,1980,4,22,0
198903030005,1989,3,3,0
198209000007,1982,9,0,0
198309260004,1983,9,26,0
198711190017,1987,11,19,0
197811080008,1978,11,8,0
198711190009,1987,11,19,0
198010170001,1980,10,17,0
198802110005,1988,2,11,0
198711210008,1987,11,21,0
198103280002,1981,3,28,2
198907300005,1989,7,30,0
198111270002,1981,11,27,0
198902180006,1989,2,18,0
198711070009,1987,11,7,0
198707210001,1987,7,21,0
198301220005,1983,1,22,0
198307150001,1983,7,15,0
198811120008,1988,11,12,0
198902170010,1989,2,17,0
198706040007,1987,6,4,0
198106190006,1981,6,19,0
198902120006,1989,2,12,0
197608240001,1976,8,24,0
198807020021,1988,7,2,0
198003170011,1980,3,17,0
198505170002,1985,5,17,0
198210260008,1982,10,26,0
198407090004,1984,7,9,0
198907190007,1989,7,19,0
198807020003,1988,7,2,0
198802110011,1988,2,11,0
198405210005,1984,5,21,0
198301050002,1983,1,5,0
197810250002,1978,10,25,1
198601220010,1986,1,22,0
198802110004,1988,2,11,0
198009190007,1980,9,19,0
198710290009,1987,10,29,0
198904120014,1989,4,12,0
198111300009,1981,11,30,0
198704050002,1987,4,5,0
198807020015,1988,7,2,0
198601220013,1986,1,22,0
197610050002,1976,10,5,0
198004180001,1980,4,18,0
198103170004,1981,3,17,0
198403210004,1984,3,21,11
197901030001,1979,1,3,0
198012120001,1980,12,12,1
198810060005,1988,10,6,0
198603160004,1986,3,16,0
198711260002,1987,11,26,0
198711070014,1987,11,7,0
197811250002,1978,11,25,0
198901060011,1989,1,6,0
198711150004,1987,11,15,0
198706130006,1987,6,13,0
198411130015,1984,11,13,0
198509090002,1985,9,9,0
198007200001,1980,7,20,0
198107010012,1981,7,1,1
198109020003,1981,9,2,0
198009080002,1980,9,8,0
198601220014,1986,1,22,0
198112290004,1981,12,29,0
198510100002,1985,10,10,11
197806030006,1978,6,3,0
198507170019,1985,7,17,0
198405210006,1984,5,21,0
198807020004,1988,7,2,0
197810110005,1978,10,11,0
198010210002,1980,10,21,0
198205250001,1982,5,25,0
198009110002,1980,9,11,0
198505160031,1985,5,16,0
198902090007,1989,2,9,0
198806130001,1988,6,13,0
197811250004,1978,11,25,3
198912160003,1989,12,16,0
198205310001,1982,5,31,0
198205010001,1982,5,1,0
198506100019,1985,6,10,0
198202210006,1982,2,21,4
198506100022,1985,6,10,0
198308000002,1983,8,0,1
198011130003,1980,11,13,8
198711190018,1987,11,19,0
198501210003,1985,1,21,0
198608120002,1986,8,12,2
198904050013,1989,4,5,0
198707280008,1987,7,28,1
198806130008,1988,6,13,0
198911260005,1989,11,26,0
198807020010,1988,7,2,0
197908040018,1979,8,4,0
198208290002,1982,8,29,0
198108010004,1981,8,1,0
198201000001,1982,1,0,0
198601220009,1986,1,22,0
198711190019,1987,11,19,0
198102200002,1981,2,20,0
198108270021,1981,8,27,0
198902120007,1989,2,12,0
198902170012,1989,2,17,0
198110230014,1981,10,23,0
198802190006,1988,2,19,0
198010080001,1980,10,8,0
198711190021,1987,11,19,0
198312140004,1983,12,14,31
198601220008,1986,1,22,0
198112210002,1981,12,21,0
198811230001,1988,11,23,0
198904100007,1989,4,10,0
198904050015,1989,4,5,0
198505080005,1985,5,8,0
198809170001,1988,9,17,0
198706130007,1987,6,13,0
197610060001,1976,10,6,73
198905220011,1989,5,22,0
198009190002,1980,9,19,0
198109230006,1981,9,23,0
198810010013,1988,10,1,1
198909020023,1989,9,2,0
198604230010,1986,4,23,0
197905310002,1979,5,31,6
198807020005,1988,7,2,0
198905220007,1989,5,22,0
198009220002,1980,9,22,0
198811140001,1988,11,14,0
198201250003,1982,1,25,0
198104150007,1981,4,15,0
198902170011,1989,2,17,0
198112030005,1981,12,3,0
198211190003,1982,11,19,0
198812020001,1988,12,2,0
198007040001,1980,7,4,0
198711070013,1987,11,7,0
198707250001,1987,7,25,0
198012210003,1980,12,21,0
198711070016,1987,11,7,0
198211110004,1982,11,11,0
198505160048,1985,5,16,0
198704060004,1987,4,6,0
198003030003,1980,3,3,0
