eventid,iyear,imonth,iday,nkill
198009120024,1980,9,12,2
198009120028,1980,9,12,0
198009120029,1980,9,12,0
198009120030,1980,9,12,3
198009130004,1980,9,13,11
198009130006,1980,9,13,1
198009130007,1980,9,13,2
198009140002,1980,9,14,3
198009140003,1980,9,14,0
198009160006,1980,9,16,2
198009170005,1980,9,17,1
198009180007,1980,9,18,4
198009180008,1980,9,18,24
198009180009,1980,9,18,0
198009180010,1980,9,18,0
198009220007,1980,9,22,11
198009230005,1980,9,23,15
198009240001,1980,9,24,14
198009240004,1980,9,24,8
198009290002,1980,9,29,1
198009290006,1980,9,29,4
198009300007,1980,9,30,2
198009300012,1980,9,30,8
198009300014,1980,9,30,0
198010030005,1980,10,3,3
198010030006,1980,10,3,15
198010030007,1980,10,3,7
198010050008,1980,10,5,1
198010050011,1980,10,5,1
198010060005,1980,10,6,7
198010060007,1980,10,6,14
198010070001,1980,10,7,1
198010080012,1980,10,8,13
198010130012,1980,10,13,2
198010140012,1980,10,14,54
198010170005,1980,10,17,11
198010200007,1980,10,20,2
198010210007,1980,10,21,4
198010230005,1980,10,23,6
198010280004,1980,10,28,8
198010290004,1980,10,29,16
198010300015,1980,10,30,0
198011020004,1980,11,2,4
198011020005,1980,11,2,10
198011030007,1980,11,3,1
198011030010,1980,11,3,2
198011060002,1980,11,6,2
198011060005,1980,11,6,20
198011070004,1980,11,7,6
198011070010,1980,11,7,2
198011080003,1980,11,8,5
198011090002,1980,11,9,2
198011090004,1980,11,9,2
198011110012,1980,11,11,1
198011120008,1980,11,12,1
198011130001,1980,11,13,3
198011160006,1980,11,16,5
198011160008,1980,11,16,2
198011170006,1980,11,17,1
198011180002,1980,11,18,11
198011200005,1980,11,20,1
198011210007,1980,11,21,1
198011210010,1980,11,21,3
198011210011,1980,11,21,1
198011210014,1980,11,21,11
198011210017,1980,11,21,0
198011210018,1980,11,21,0
198011210019,1980,11,21,0
198011230003,1980,11,23,1
198011250004,1980,11,25,22
198011250007,1980,11,25,10
198012040005,1980,12,4,1
198012060004,1980,12,6,1
198012110003,1980,12,11,18
198012150013,1980,12,15,3
198012160015,1980,12,16,3
198012160016,1980,12,16,2
198012180003,1980,12,18,50
198012210007,1980,12,21,2
198012270003,1980,12,27,7
198012280004,1980,12,28,6
198012280005,1980,12,28,5
198101010006,1981,1,1,3
198101060001,1981,1,6,2
198101060006,1981,1,6,6
198101070001,1981,1,7,2
198101080009,1981,1,8,50
198101090006,1981,1,9,27
198101110003,1981,1,11,25
198101110004,1981,1,11,40
198101160001,1981,1,16,1
198101170001,1981,1,17,87
198101180004,1981,1,18,1
198101190009,1981,1,19,4
198101200004,1981,1,20,17
198101230006,1981,1,23,4
198101270012,1981,1,27,7
198101280004,1981,1,28,2
198101290003,1981,1,29,0
198101290004,1981,1,29,3
198101290008,1981,1,29,3
198101300004,1981,1,30,3
198102020006,1981,2,2,0
198102040005,1981,2,4,2
198102050009,1981,2,5,45
198102050012,1981,2,5,0
198102080001,1981,2,8,1
198102090007,1981,2,9,0
198102090016,1981,2,9,2
198102100012,1981,2,10,18
198102130011,1981,2,13,2
198102140001,1981,2,14,1
198102190001,1981,2,19,4
198102190003,1981,2,19,1
198102200006,1981,2,20,0
198102200007,1981,2,20,0
198102230005,1981,2,23,0
198102260002,1981,2,26,1
198102270004,1981,2,27,1
198102270005,1981,2,27,1
198102270008,1981,2,27,45
198102270009,1981,2,27,10
198103020002,1981,3,2,1
198103020008,1981,3,2,7
198103030006,1981,3,3,0
198103030007,1981,3,3,60
198103050006,1981,3,5,0
198103050007,1981,3,5,2
198103050008,1981,3,5,4
198103050009,1981,3,5,6
198103060002,1981,3,6,4
198103060003,1981,3,6,1
198103060008,1981,3,6,38
198103060009,1981,3,6,2
198103080002,1981,3,8,5
198103080003,1981,3,8,100
198103090006,1981,3,9,0
198103100003,1981,3,10,3
198103150002,1981,3,15,1
198103150012,1981,3,15,6
198103150017,1981,3,15,0
198103170003,1981,3,17,4
198103180001,1981,3,18,3
198103190006,1981,3,19,16
198103190007,1981,3,19,2
198103200001,1981,3,20,1
198103220005,1981,3,22,4
198103230001,1981,3,23,10
198103250002,1981,3,25,2
198103260007,1981,3,26,4
198103270002,1981,3,27,0
198103290001,1981,3,29,1
198103290005,1981,3,29,14
198103300007,1981,3,30,0
198104030002,1981,4,3,7
198104030009,1981,4,3,0
198104030010,1981,4,3,15
198104070005,1981,4,7,20
198104090004,1981,4,9,5
198104110001,1981,4,11,24
198104130001,1981,4,13,2
198104130003,1981,4,13,2
198104140007,1981,4,14,29
198104150008,1981,4,15,3
198104170001,1981,4,17,2
198104180004,1981,4,18,0
198104200008,1981,4,20,0
198104210001,1981,4,21,2
198104230009,1981,4,23,2
198104230011,1981,4,23,2
198104230012,1981,4,23,1
198104230013,1981,4,23,3
198104260001,1981,4,26,3
198104270004,1981,4,27,1
198104270017,1981,4,27,6
198104280001,1981,4,28,1
198104290009,1981,4,29,10
198105010008,1981,5,1,1
198105010014,1981,5,1,10
198105030001,1981,5,3,3
198105030002,1981,5,3,1
198105040003,1981,5,4,1
198105040009,1981,5,4,5
198105040010,1981,5,4,1
198105050001,1981,5,5,2
198105050010,1981,5,5,1
198105050012,1981,5,5,6
198105060001,1981,5,6,1
198105070008,1981,5,7,9
198105110001,1981,5,11,1
198105110004,1981,5,11,6
198105130007,1981,5,13,2
198105130009,1981,5,13,5
198105130010,1981,5,13,2
198105150001,1981,5,15,1
198105150007,1981,5,15,18
198105160005,1981,5,16,0
198105170011,1981,5,17,5
198105190001,1981,5,19,1
198105190002,1981,5,19,1
198105200001,1981,5,20,1
198105210001,1981,5,21,1
198105210010,1981,5,21,17
198105220002,1981,5,22,1
198105260001,1981,5,26,2
198105260002,1981,5,26,1
198106020001,1981,6,2,1
198106020004,1981,6,2,0
198106070001,1981,6,7,27
198106090003,1981,6,9,5
198106140002,1981,6,14,6
198106160001,1981,6,16,0
198106160004,1981,6,16,0
198106180003,1981,6,18,1
198106180005,1981,6,18,2
198106200001,1981,6,20,1
198106220004,1981,6,22,2
198106250004,1981,6,25,30
198106250006,1981,6,25,1
198106260008,1981,6,26,2
198106290004,1981,6,29,11
198107010003,1981,7,1,4
198107010004,1981,7,1,2
198107010011,1981,7,1,0
198107020003,1981,7,2,1
198107060005,1981,7,6,2
198107110002,1981,7,11,14
198107120001,1981,7,12,50
198107120002,1981,7,12,16
198107120003,1981,7,12,17
198107140003,1981,7,14,1
198107150017,1981,7,15,2
198107160001,1981,7,16,1
198107160003,1981,7,16,1
198107190007,1981,7,19,25
198107250004,1981,7,25,8
198107250005,1981,7,25,10
198107270001,1981,7,27,5
198108030003,1981,8,3,1
198108040010,1981,8,4,8
198108050001,1981,8,5,1
198108050002,1981,8,5,1
198108050003,1981,8,5,1
198108100004,1981,8,10,0
198108120005,1981,8,12,0
198108120006,1981,8,12,35
198108130010,1981,8,13,2
198108140016,1981,8,14,1
198108160005,1981,8,16,0
198108160007,1981,8,16,16
198108160009,1981,8,16,11
198108200001,1981,8,20,15
198108200008,1981,8,20,20
198108230004,1981,8,23,1
198108230011,1981,8,23,1
198108240003,1981,8,24,11
198108240007,1981,8,24,5
198108260002,1981,8,26,1
198108260006,1981,8,26,0
198108260007,1981,8,26,0
198108260009,1981,8,26,3
198108270028,1981,8,27,7
198108270030,1981,8,27,34
198109010001,1981,9,1,7
198109010002,1981,9,1,5
198109030003,1981,9,3,2
198109030009,1981,9,3,3
198109070002,1981,9,7,2
198109110004,1981,9,11,11
198109110005,1981,9,11,5
198109130001,1981,9,13,32
198109130003,1981,9,13,3
198109130004,1981,9,13,2
198109170007,1981,9,17,1
198109210004,1981,9,21,1
198109270001,1981,9,27,11
198109270002,1981,9,27,9
198109270003,1981,9,27,6
198109270004,1981,9,27,5
198109290004,1981,9,29,30
198109290005,1981,9,29,14
198110020009,1981,10,2,2
198110020010,1981,10,2,1
198110050003,1981,10,5,8
198110130005,1981,10,13,2
198110190015,1981,10,19,19
198110190016,1981,10,19,20
198110190017,1981,10,19,5
198110190018,1981,10,19,0
198110190020,1981,10,19,0
198110190021,1981,10,19,0
198110190024,1981,10,19,0
198110190025,1981,10,19,0
198110210011,1981,10,21,0
198110240007,1981,10,24,1
198110250012,1981,10,25,0
198110250013,1981,10,25,6
198110280010,1981,10,28,24
198110280011,1981,10,28,15
198111020005,1981,11,2,0
198111030008,1981,11,3,1
198111090011,1981,11,9,5
198111120001,1981,11,12,4
198111120013,1981,11,12,4
198111120014,1981,11,12,5
198111130001,1981,11,13,1
198111130007,1981,11,13,1
198111130016,1981,11,13,4
198111130017,1981,11,13,1
198111130020,1981,11,13,2
198111170008,1981,11,17,6
198111180007,1981,11,18,7
198111190011,1981,11,19,4
198111190012,1981,11,19,2
198111240011,1981,11,24,2
198111240013,1981,11,24,6
198111250001,1981,11,25,3
198111270006,1981,11,27,2
198111290005,1981,11,29,30
198112000006,1981,12,0,7
198112010006,1981,12,1,70
198112010007,1981,12,1,13
198112010008,1981,12,1,6
198112020007,1981,12,2,1
198112030006,1981,12,3,6
198112070014,1981,12,7,2
198112080006,1981,12,8,2
198112090004,1981,12,9,2
198112090005,1981,12,9,6
198112090010,1981,12,9,4
198112090011,1981,12,9,16
198112100004,1981,12,10,6
198112110004,1981,12,11,1
198112130002,1981,12,13,5
198112130010,1981,12,13,40
198112130011,1981,12,13,5
198112130012,1981,12,13,1
198112130013,1981,12,13,0
198112140005,1981,12,14,12
198112140007,1981,12,14,10
198112150007,1981,12,15,2
198112150010,1981,12,15,3
198112160011,1981,12,16,12
198112160013,1981,12,16,1
198112170005,1981,12,17,7
198112180006,1981,12,18,3
198112200008,1981,12,20,2
198112200009,1981,12,20,0
198112220002,1981,12,22,11
198112230015,1981,12,23,0
198112230016,1981,12,23,4
198112260003,1981,12,26,3
198112270005,1981,12,27,0
198112270006,1981,12,27,3
198112290007,1981,12,29,16
198112290009,1981,12,29,2
198112300010,1981,12,30,2
198112300011,1981,12,30,0
198201010002,1982,1,1,0
198201010003,1982,1,1,15
198201040013,1982,1,4,10
198201040015,1982,1,4,6
198201040016,1982,1,4,2
198201040019,1982,1,4,8
198201050010,1982,1,5,8
198201060007,1982,1,6,3
198201100008,1982,1,10,48
198201110007,1982,1,11,1
198201130004,1982,1,13,42
198201160003,1982,1,16,6
198201170010,1982,1,17,6
198201170012,1982,1,17,18
198201170013,1982,1,17,24
198201170014,1982,1,17,2
198201170015,1982,1,17,7
198201190009,1982,1,19,2
198201190010,1982,1,19,1
198201190011,1982,1,19,15
198201190012,1982,1,19,10
198201200005,1982,1,20,1
198201210006,1982,1,21,45
198201210007,1982,1,21,0
198201220003,1982,1,22,2
198201260008,1982,1,26,17
198201260009,1982,1,26,15
198202010004,1982,2,1,7
198202010005,1982,2,1,7
198202020005,1982,2,2,2
198202020006,1982,2,2,80
198202020007,1982,2,2,3
198202020009,1982,2,2,2
198202040003,1982,2,4,2
198202050007,1982,2,5,0
198202050008,1982,2,5,67
198202050009,1982,2,5,6
198202090018,1982,2,9,6
198202090023,1982,2,9,3
198202090027,1982,2,9,0
198202140003,1982,2,14,7
198202150004,1982,2,15,7
198202150005,1982,2,15,11
198202150006,1982,2,15,3
198202170005,1982,2,17,6
198202210008,1982,2,21,2
198202210009,1982,2,21,24
198202220006,1982,2,22,12
198202280010,1982,2,28,3
198202280011,1982,2,28,0
198203030002,1982,3,3,60
198203040002,1982,3,4,9
198203110007,1982,3,11,1
198203120010,1982,3,12,30
198203140007,1982,3,14,40
198203150019,1982,3,15,6
198203160013,1982,3,16,2
198203160016,1982,3,16,1
198203160017,1982,3,16,2
198203180006,1982,3,18,14
198203190012,1982,3,19,1
198203210005,1982,3,21,13
198203210006,1982,3,21,6
198203220008,1982,3,22,1
198203240005,1982,3,24,7
198203280006,1982,3,28,6
198203280007,1982,3,28,10
198203280009,1982,3,28,2
198203280010,1982,3,28,4
198203310013,1982,3,31,0
198204010010,1982,4,1,20
198204020004,1982,4,2,1
198204020005,1982,4,2,12
198204040008,1982,4,4,1
198204040011,1982,4,4,0
198204050004,1982,4,5,0
198204150009,1982,4,15,0
198204150010,1982,4,15,1
198204160001,1982,4,16,5
198204160003,1982,4,16,30
198204170007,1982,4,17,30
198204220007,1982,4,22,3
198204260003,1982,4,26,2
198204260005,1982,4,26,16
198204280006,1982,4,28,0
198205030011,1982,5,3,9
198205040010,1982,5,4,2
198205050012,1982,5,5,15
198205060001,1982,5,6,1
198205060003,1982,5,6,2
198205060004,1982,5,6,3
198205070005,1982,5,7,3
198205070006,1982,5,7,20
198205070007,1982,5,7,2
198205090004,1982,5,9,4
198205100011,1982,5,10,13
198205110004,1982,5,11,20
198205160006,1982,5,16,5
198205160008,1982,5,16,12
198205160011,1982,5,16,5
198205180007,1982,5,18,6
198205180009,1982,5,18,2
198205190004,1982,5,19,26
198205200007,1982,5,20,2
198205200008,1982,5,20,30
198205220002,1982,5,22,4
198205220003,1982,5,22,2
198205230004,1982,5,23,16
198205250008,1982,5,25,2
198206040003,1982,6,4,6
198206040004,1982,6,4,6
198206050004,1982,6,5,5
198206050005,1982,6,5,0
198206110001,1982,6,11,15
198206110002,1982,6,11,15
198206130005,1982,6,13,10
198206140005,1982,6,14,100
198206170002,1982,6,17,2
198206230005,1982,6,23,5
198206240007,1982,6,24,0
198206250003,1982,6,25,5
198207020011,1982,7,2,10
198207020012,1982,7,2,7
198207040004,1982,7,4,0
198207050003,1982,7,5,8
198207050004,1982,7,5,39
198207060003,1982,7,6,11
198207120004,1982,7,12,2
198207130003,1982,7,13,13
198207130006,1982,7,13,13
198207180005,1982,7,18,11
198207180006,1982,7,18,10
198207180008,1982,7,18,10
198207230005,1982,7,23,0
198207240006,1982,7,24,41
198207250001,1982,7,25,0
198207250005,1982,7,25,6
198207280016,1982,7,28,22
198207290009,1982,7,29,23
198207300006,1982,7,30,16
198208030003,1982,8,3,2
198208030004,1982,8,3,39
198208090002,1982,8,9,1
198208090003,1982,8,9,6
198208140002,1982,8,14,1
198208140003,1982,8,14,0
198208160001,1982,8,16,22
198208200005,1982,8,20,1
198208200007,1982,8,20,2
198208200008,1982,8,20,1
198208200009,1982,8,20,30
198208200012,1982,8,20,0
198208200015,1982,8,20,1
198208200017,1982,8,20,1
198208210002,1982,8,21,2
198208250004,1982,8,25,8
198208250005,1982,8,25,0
198208300012,1982,8,30,3
198209020007,1982,9,2,2
198209030003,1982,9,3,1
198209030005,1982,9,3,5
198209170004,1982,9,17,0
198209250002,1982,9,25,0
198209290012,1982,9,29,27
198210010008,1982,10,1,1
198210030003,1982,10,3,17
198210040005,1982,10,4,4
